cert,bank_name,peer_band,composite_score,n_screen_metrics,z_uninsured_share,z_brokered_share,z_securities_share,z_asset_growth_3y,z_nim_trend,z_equity_ratio,likely_merger_quarter,rank_in_band,band_size,pctile_in_band,rank_overall,n_overall,pctile_overall
34836,North American Banking Company,$1B-$10B,2.9220418135055906,4,2.1412065693359854,5.0,1.84199087023787,,,2.704969814448507,false,1,826,1.0,1,989,1.0
1299,Evolve Bank & Trust,$1B-$10B,2.420821459570864,4,2.845835730114551,5.0,0.8292244397222656,,,1.0082256684466406,,2,826,0.9987878787878788,2,989,0.9989878542510121
15728,"Dakota Community Bank & Trust, National Association",$1B-$10B,2.2106120493620636,5,0.05216063527262341,5.0,1.7323519322611625,,2.2980646045977955,1.970483074678738,false,3,826,0.9975757575757576,3,989,0.9979757085020243
57833,Beal Bank USA,$10B-$100B,2.153937052293315,6,-0.08026092265991903,5.0,3.8163973817712082,2.5146466286151763,5.0,-3.327160773966579,true,1,128,1.0,4,989,0.9969635627530364
3256,"Horizon Bank, SSB",$1B-$10B,2.152178227628095,6,1.6639118001014352,5.0,1.2912636165488693,2.8432692521402534,1.009514897037714,1.1051097999403006,false,4,826,0.9963636363636363,5,989,0.9959514170040485
20156,Kirkpatrick Bank,$1B-$10B,2.1379940392977224,5,1.7961475643708398,5.0,1.32622993658983,,0.8960002800041014,1.6715924155238424,false,5,826,0.9951515151515151,6,989,0.9949392712550608
57710,Greene County Commercial Bank,$1B-$10B,2.112801309664475,4,3.1450937454283965,-0.6744907594765953,5.0,,,0.9806022527060988,false,6,826,0.9939393939393939,7,989,0.9939271255060729
22134,Cache Valley Bank,$1B-$10B,2.055032703023487,6,1.426766356383398,5.0,0.6808187353676158,2.9320253438756327,2.04427981358406,0.24630596893021647,false,7,826,0.9927272727272727,9,989,0.9919028340080972
58739,Texas Security Bank,$1B-$10B,2.052829028772181,4,1.7330972162542007,5.0,0.3864819166821372,,,1.0917369821523868,false,8,826,0.9915151515151515,10,989,0.9908906882591093
58264,Signature Bank,$1B-$10B,2.046155157323628,5,2.4042469358421537,5.0,0.7131195758406965,,0.9088254036516455,1.2045838712836447,false,9,826,0.9903030303030304,11,989,0.9898785425101214
34697,WEX Bank,$1B-$10B,2.045105678145792,6,-0.6881003583112829,5.0,0.4070637988995507,1.8363601171852946,5.0,0.7153105111011882,false,10,826,0.9890909090909091,12,989,0.9888663967611336
57620,Arizona Bank & Trust,$1B-$10B,1.9754566123665627,5,1.6655093120400486,5.0,1.8434246890079073,,0.2980329264474228,1.0703161343374339,false,11,826,0.9878787878787879,13,989,0.9878542510121457
